Designator,Mid X,Mid Y,Rotation,Layer
J1_12,50.006,-25.622,0.0,top
J1_11,21.844,-49.212,0.0,top
J1_10,78.168,-72.802,0.0,top
J1_9,21.844,-25.622,0.0,top
J1_8,21.844,-2.032,0.0,top
J1_7,78.168,-25.622,0.0,top
J1_6,50.006,-2.032,0.0,top
J1_5,50.006,-49.212,0.0,top
J1_4,50.006,-72.802,0.0,top
J1_3,21.844,-72.802,0.0,top
J1_2,78.168,-49.212,0.0,top
J1,78.168,-2.032,0.0,top
J2_12,46.323,-53.1904,180.0,top
J2_11,46.323,-76.7804,180.0,top
J2_10,74.485,-53.1904,180.0,top
J2_9,18.161,-29.6004,180.0,top
J2_8,74.485,-29.6004,180.0,top
J2_7,46.323,-6.0104,180.0,top
J2_6,18.161,-6.0104,180.0,top
J2_5,46.323,-29.6004,180.0,top
J2_4,74.485,-76.7804,180.0,top
J2_3,18.161,-76.7804,180.0,top
J2_2,18.161,-53.1904,180.0,top
J2,74.485,-6.0104,180.0,top
U1_12,36.432,-57.72,90.0,top
U1_11,8.27,-34.13,90.0,top
U1_10,64.594,-34.13,90.0,top
U1_9,36.432,-10.54,90.0,top
U1_8,8.27,-81.31,90.0,top
U1_7,64.594,-81.31,90.0,top
U1_6,8.27,-10.54,90.0,top
U1_5,64.594,-10.54,90.0,top
U1_4,36.432,-34.13,90.0,top
U1_3,36.432,-81.31,90.0,top
U1_2,8.27,-57.72,90.0,top
U1,64.594,-57.72,90.0,top
